"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_turnover","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","BOY'S SWIMSUITS","NABAIJI","SWIM SHORTS",8601721,"748.7500000000007","262",789,"915","3743.749999999996","290"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8645680,"684.5300000000003","203",509,"579","3802.2499999999873","304"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDBOY","QUECHUA","FLEECE",966343,"1027.5300000000009","276",682,"740","4312.829999999985","123"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER 2 TWBOY","QUECHUA","FLEECE",8552469,"2097.9000000000015","398",1208,"1379","11478.509999999971","229"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","GIRL'S SWIMSUIT","OLAIAN","BIKINI BOTTOM",8555544,"1568.3700000000013","496",1893,"2265","14303.399999999963","805"
"CLOTHING","CYCLING UNIVERS","ROAD BIKE AND E","GAR SUM RD M","VAN RYSEL","PADDED CYCLING SHORTS",8733010,"4269.389999999996","208",411,"436","16335.839999999967","202"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","M SUN PROTEC","OLAIAN","LEGGINGS",8528593,"2441.449999999998","254",619,"782","9435.039999999974","186"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM ADV SSUIT","OLAIAN","BIKINI TOP",8581944,"1193.5200000000002","311",438,"480","5799.659999999984","246"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN COLD","KIPRUN","RUNNING TIGHTS",8758645,"2549.1499999999996","360",574,"582","12415.859999999986","168"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN UNDERWEAR","KALENJI","SPORTS BRA",8595376,"506.65000000000015","627",89,"90","902.3800000000005","28"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","W SAIL JACKETS","TRIBORD","ANORAK",8562783,"990.6300000000002","395",321,"333","4310.389999999992","172"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W TT APP OUTFIT","FORCLAZ","T-SHIRT",8664906,"2106.76","269",509,"562","7594.529999999989","115"
"CLOTHING","WINTER SPORTS U","CROSS COUNTRY S","WO APP XC SKI","INOVIK","LONG-SLEEVED T-SHIRT",8589778,"1584.1300000000006","246",447,"461","5506.879999999992","147"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN JR APP","ARTENGO","SKIRT",8325578,"1605.9900000000011","506",1634,"2032","11809.219999999965","554"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER 2 TWBOY","QUECHUA","FLEECE",8749546,"4549.959999999988","377",2043,"2383","27552.609999999982","544"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W BRA","DOMYOS","SPORTS BRA",8667270,"1976.8100000000009","202",696,"817","8194.10999999997","328"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","FLEECES","SOLOGNAC","FLEECE",8753992,"6074.0699999999915","1801",679,"754","35599.55000000004","208"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASELAYER BOTTOM",8548387,"4918.359999999992","436",721,"830","18443.84999999998","215"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","M SUN PROTEC","OLAIAN","TOP",8787799,"2887.109999999999","462",1600,"2095","15514.469999999988","542"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","MAN TS SHORT","DOMYOS","T-SHIRT",8561988,"635.0600000000005","221",437,"688","4121.309999999991","69"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","CSH TEXTIL KID","QUECHUA","TROUSERS",8609008,"1358.2000000000005","829",851,"998","13504.099999999984","208"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM CONF SSUIT","OLAIAN","BIKINI BOTTOM",8751561,"2773.149999999997","183",2144,"2636","18334.76","1412"
