"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","M SUN PROTEC","OLAIAN","TOP",8403266,"1050",668,"828","6594.499999999983","278"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SNB CLTHG","DREAMSCAPE","JACKET",8758709,"1049",229,"222","7858.689999999992","91"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN PANT JACK","DOMYOS","LONG-SLEEVED T-SHIRT",8520232,"1048",535,"703","4575.189999999987","121"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","ZIP OFF TROUSERS",8605945,"1047",305,"363","8768.19999999998","183"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","AQUAGYM AQUABIK","NABAIJI","SWIMMING COSTUME",8677368,"1043",237,"280","3718.749999999994","155"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","TROUSERS",8492990,"1037",193,"233","4184.899999999991","123"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","CAMO CLOTH D/W","SOLOGNAC","TROUSERS",8284152,"1037",315,"371","4147.469999999989","118"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","AQUAGYM AQUABIK","NABAIJI","SWIMMING COSTUME",8732993,"1035",261,"298","4154.52999999999","151"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","FLEECES","SOLOGNAC","FLEECE",8281243,"1030",460,"517","5066.159999999985","133"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MH TS PANT","QUECHUA","ZIP OFF TROUSERS",8493692,"1029",747,"897","14061.719999999965","569"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","W RIDING WEAR","FOUGANZA","BREECHES",8580556,"1024",333,"400","9992.489999999969","149"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","SUN PROTEC JR","OLAIAN","TOP",8603057,"1022",370,"468","1971.180000000002","186"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","AQUAGYM AQUABIK","NABAIJI","SWIMSUIT TOP",8731494,"1020",230,"265","1388.6100000000008","126"
"CLOTHING","FITNESS WELLNES","DANCES","W MODERN CLOTH","STAREVER","SPORTS BRA",8654786,"1019",408,"516","4721.649999999981","181"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","SILENT CLOTHING","SOLOGNAC","TROUSERS",8560075,"1018",281,"309","17923.11999999998","120"
