"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN JR APP","ARTENGO","BOXER SHORTS",8776954,"16",52,"61","193.29000000000002","10","14",400,"495","1655.290000000001","104"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN CW APP M","ARTENGO","JACKET",8551732,"16",19,"20","315.86000000000007","6","11",81,"89","1197.4500000000003","34"
"CLOTHING","RUNNING WALKING","WALKING","WALKING SOCKS","NEWFEEL","SOCKS",8641275,"16",28,"48","131.68","16","11",116,"150","581.5700000000005","7"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDGIR","QUECHUA","FLEECE",966343,"16",39,"44","272.6100000000001","5","138",204,"229","1460.910000000001","20"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDGIR","QUECHUA","FLEECE",8574258,"16",28,"32","259.74000000000007","5","14",129,"151","1308.6900000000007","20"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDGIR","QUECHUA","PADDED JACKET",8749896,"16",34,"37","574.7700000000001","14","241",175,"200","3373.649999999999","64"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","MEN FAST HIKE","QUECHUA","T-SHIRT",8670536,"16",24,"24","204.83","7","18",216,"255","1748.360000000001","91"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","FLEECE",8642290,"16",5,"5","149.97","2","31",39,"47","1499.7","17"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM CONF SSUIT","OLAIAN","BIKINI BOTTOM",8756353,"16",67,"76","292.7300000000001","49","5",418,"468","2186.0600000000013","274"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","SUN PROTEC JR","OLAIAN","TOP",8789311,"16",33,"34","251.73000000000005","7","4",240,"258","2050.8300000000013","41"
